 

stn;time;prestas0;qprestas0
LUZ;202301022330;974.8;4
LUZ;202301022340;974.9;4
LUZ;202301022350;974.9;4
LUZ;202301030000;974.9;4
LUZ;202301030010;974.9;4
LUZ;202301030020;974.9;4
LUZ;202301030030;974.9;4
LUZ;202301030040;974.9;4
LUZ;202301030050;974.9;4
LUZ;202301030100;974.9;4
LUZ;202301030110;974.8;4
LUZ;202301030120;974.8;4
LUZ;202301030130;974.9;4
LUZ;202301030140;974.9;4
LUZ;202301030150;974.9;4
LUZ;202301030200;975.0;4
LUZ;202301030210;975.0;4
LUZ;202301030220;975.0;4
LUZ;202301030230;974.9;4
LUZ;202301030240;974.7;4
LUZ;202301030250;974.7;4
LUZ;202301030300;974.6;4
LUZ;202301030310;974.6;4
LUZ;202301030320;974.7;4
LUZ;202301030330;974.8;4
LUZ;202301030340;974.8;4
LUZ;202301030350;974.8;4
LUZ;202301030400;974.7;4
LUZ;202301030410;974.7;4
LUZ;202301030420;974.7;4
LUZ;202301030430;974.7;4
LUZ;202301030440;974.8;4
LUZ;202301030450;974.7;4
LUZ;202301030500;974.8;4
LUZ;202301030510;974.8;4
LUZ;202301030520;974.9;4
LUZ;202301030530;975.0;4
LUZ;202301030540;975.1;4
LUZ;202301030550;975.1;4
LUZ;202301030600;975.2;4
LUZ;202301030610;975.3;4
LUZ;202301030620;975.4;4
LUZ;202301030630;975.6;4
LUZ;202301030640;975.7;4
LUZ;202301030650;975.6;4
LUZ;202301030700;975.7;4
LUZ;202301030710;975.7;4
LUZ;202301030720;975.7;4
LUZ;202301030730;975.8;4
LUZ;202301030740;975.9;4
LUZ;202301030750;975.9;4
LUZ;202301030800;976.0;4
LUZ;202301030810;976.1;4
LUZ;202301030820;976.2;4
LUZ;202301030830;976.3;4
LUZ;202301030840;976.5;4
LUZ;202301030850;976.5;4
LUZ;202301030900;976.6;4
LUZ;202301030910;976.7;4
LUZ;202301030920;976.9;4
LUZ;202301030930;976.9;4
LUZ;202301030940;976.9;4
LUZ;202301030950;977.0;4
LUZ;202301031000;977.1;4
LUZ;202301031010;977.1;4
LUZ;202301031020;977.0;4
LUZ;202301031030;977.0;4
LUZ;202301031040;977.0;4
LUZ;202301031050;977.0;4
LUZ;202301031100;976.9;4
LUZ;202301031110;976.9;4
LUZ;202301031120;976.9;4
LUZ;202301031130;976.8;4
LUZ;202301031140;976.7;4
LUZ;202301031150;976.8;4
LUZ;202301031200;976.7;4
LUZ;202301031210;976.6;4
LUZ;202301031220;976.6;4
LUZ;202301031230;976.6;4
LUZ;202301031240;976.6;4
LUZ;202301031250;976.6;4
LUZ;202301031300;976.6;4
LUZ;202301031310;976.6;4
LUZ;202301031320;976.6;4
LUZ;202301031330;976.6;4
LUZ;202301031340;976.6;4
LUZ;202301031350;976.6;4
LUZ;202301031400;976.6;4
LUZ;202301031410;976.6;4
LUZ;202301031420;976.7;4
LUZ;202301031430;976.7;4
LUZ;202301031440;976.8;4
LUZ;202301031450;977.0;4
LUZ;202301031500;977.0;4
LUZ;202301031510;977.1;4
LUZ;202301031520;977.1;4
LUZ;202301031530;977.1;4
LUZ;202301031540;977.1;4
LUZ;202301031550;977.1;4
LUZ;202301031600;977.1;4
LUZ;202301031610;977.1;4
LUZ;202301031620;977.2;4
LUZ;202301031630;977.1;4
LUZ;202301031640;977.1;4
LUZ;202301031650;977.2;4
LUZ;202301031700;977.3;4
LUZ;202301031710;977.4;4
LUZ;202301031720;977.4;4
LUZ;202301031730;977.3;4
LUZ;202301031740;977.2;4
LUZ;202301031750;977.4;4
LUZ;202301031800;977.4;4
LUZ;202301031810;977.4;4
LUZ;202301031820;977.5;4
LUZ;202301031830;977.4;4
LUZ;202301031840;977.5;4
LUZ;202301031850;977.4;4
LUZ;202301031900;977.4;4
LUZ;202301031910;977.4;4
LUZ;202301031920;977.4;4
LUZ;202301031930;977.4;4
LUZ;202301031940;977.4;4
LUZ;202301031950;977.5;4
LUZ;202301032000;977.5;4
LUZ;202301032010;977.5;4
LUZ;202301032020;977.6;4
LUZ;202301032030;977.5;4
LUZ;202301032040;977.5;4
LUZ;202301032050;977.5;4
LUZ;202301032100;977.7;4
LUZ;202301032110;977.6;4
LUZ;202301032120;977.6;4
LUZ;202301032130;977.6;4
LUZ;202301032140;977.7;4
LUZ;202301032150;977.8;4
LUZ;202301032200;977.9;4
LUZ;202301032210;977.8;4
LUZ;202301032220;977.8;4
LUZ;202301032230;977.8;4
LUZ;202301032240;977.8;4
LUZ;202301032250;977.8;4
LUZ;202301032300;977.7;4
LUZ;202301032310;977.7;4
LUZ;202301032320;977.7;4
LUZ;202301032330;977.7;4
LUZ;202301032340;977.5;4
LUZ;202301032350;977.6;4
LUZ;202301040000;977.6;4
LUZ;202301040010;977.6;4
LUZ;202301040020;977.6;4
LUZ;202301040030;977.5;4
LUZ;202301040040;977.4;4
LUZ;202301040050;977.3;4
LUZ;202301040100;977.4;4
LUZ;202301040110;977.3;4
LUZ;202301040120;977.3;4
LUZ;202301040130;977.4;4
LUZ;202301040140;977.5;4
LUZ;202301040150;977.5;4
LUZ;202301040200;977.6;4
