 

stn;time;fu3010z0;qfu3010z0
LUZ;202301030020;3.2;0
LUZ;202301030030;4.7;0
LUZ;202301030040;3.6;0
LUZ;202301030050;1.8;0
LUZ;202301030100;1.8;0
LUZ;202301030110;2.5;0
LUZ;202301030120;1.4;0
LUZ;202301030130;1.1;0
LUZ;202301030140;2.2;0
LUZ;202301030150;1.8;0
LUZ;202301030200;3.2;0
LUZ;202301030210;2.2;0
LUZ;202301030220;2.2;0
LUZ;202301030230;1.4;0
LUZ;202301030240;1.4;0
LUZ;202301030250;2.9;0
LUZ;202301030300;1.4;0
LUZ;202301030310;3.2;0
LUZ;202301030320;2.2;0
LUZ;202301030330;7.2;0
LUZ;202301030340;9.4;0
LUZ;202301030350;8.3;0
LUZ;202301030400;4.7;0
LUZ;202301030410;4.7;0
LUZ;202301030420;4.3;0
LUZ;202301030430;3.6;0
LUZ;202301030440;3.2;0
LUZ;202301030450;2.9;0
LUZ;202301030500;4.3;0
LUZ;202301030510;4.0;0
LUZ;202301030520;2.5;0
LUZ;202301030530;6.5;0
LUZ;202301030540;6.1;0
LUZ;202301030550;6.5;0
LUZ;202301030600;6.1;0
LUZ;202301030610;6.5;0
LUZ;202301030620;5.4;0
LUZ;202301030630;4.7;0
LUZ;202301030640;2.9;0
LUZ;202301030650;4.0;0
LUZ;202301030700;3.6;0
LUZ;202301030710;4.0;0
LUZ;202301030720;2.9;0
LUZ;202301030730;2.9;0
LUZ;202301030740;4.0;0
LUZ;202301030750;4.0;0
LUZ;202301030800;5.0;0
LUZ;202301030810;9.4;0
LUZ;202301030820;10.4;0
LUZ;202301030830;7.6;0
LUZ;202301030840;8.6;0
LUZ;202301030850;7.9;0
LUZ;202301030900;4.0;0
LUZ;202301030910;2.9;0
LUZ;202301030920;3.6;0
LUZ;202301030930;3.6;0
LUZ;202301030940;3.2;0
LUZ;202301030950;2.2;0
LUZ;202301031000;2.5;0
LUZ;202301031010;1.8;0
LUZ;202301031020;2.5;0
LUZ;202301031030;2.5;0
LUZ;202301031040;2.2;0
LUZ;202301031050;2.5;0
LUZ;202301031100;2.9;0
LUZ;202301031110;2.2;0
LUZ;202301031120;1.4;0
LUZ;202301031130;1.8;0
LUZ;202301031140;1.4;0
LUZ;202301031150;2.5;0
LUZ;202301031200;2.9;0
LUZ;202301031210;2.9;0
LUZ;202301031220;3.2;0
LUZ;202301031230;3.2;0
LUZ;202301031240;3.2;0
LUZ;202301031250;6.1;0
LUZ;202301031300;6.8;0
LUZ;202301031310;7.6;0
LUZ;202301031320;4.0;0
LUZ;202301031330;5.8;0
LUZ;202301031340;5.0;0
LUZ;202301031350;2.2;0
LUZ;202301031400;1.8;0
LUZ;202301031410;1.4;0
LUZ;202301031420;1.4;0
LUZ;202301031430;1.4;0
LUZ;202301031440;1.8;0
LUZ;202301031450;0.7;0
LUZ;202301031500;2.2;0
LUZ;202301031510;2.5;0
LUZ;202301031520;1.4;0
LUZ;202301031530;1.1;0
LUZ;202301031540;1.1;0
LUZ;202301031550;1.8;0
LUZ;202301031600;2.9;0
LUZ;202301031610;3.2;0
LUZ;202301031620;2.9;0
LUZ;202301031630;4.0;0
LUZ;202301031640;1.1;0
LUZ;202301031650;0.7;0
LUZ;202301031700;1.1;0
LUZ;202301031710;0.4;0
LUZ;202301031720;1.4;0
LUZ;202301031730;3.6;0
LUZ;202301031740;2.2;0
LUZ;202301031750;2.9;0
LUZ;202301031800;3.2;0
LUZ;202301031810;3.6;0
LUZ;202301031820;2.5;0
LUZ;202301031830;1.8;0
LUZ;202301031840;1.4;0
LUZ;202301031850;1.1;0
LUZ;202301031900;2.2;0
LUZ;202301031910;1.8;0
LUZ;202301031920;1.8;0
LUZ;202301031930;1.4;0
LUZ;202301031940;2.5;0
LUZ;202301031950;4.0;0
LUZ;202301032000;6.5;0
LUZ;202301032010;6.8;0
LUZ;202301032020;4.7;0
LUZ;202301032030;2.2;0
LUZ;202301032040;3.6;0
LUZ;202301032050;3.6;0
LUZ;202301032100;1.4;0
LUZ;202301032110;2.2;0
LUZ;202301032120;4.3;0
LUZ;202301032130;2.9;0
LUZ;202301032140;1.8;0
LUZ;202301032150;1.4;0
LUZ;202301032200;1.8;0
LUZ;202301032210;2.2;0
LUZ;202301032220;0.7;0
LUZ;202301032230;2.9;0
LUZ;202301032240;3.6;0
LUZ;202301032250;3.6;0
LUZ;202301032300;4.7;0
LUZ;202301032310;2.9;0
LUZ;202301032320;3.2;0
LUZ;202301032330;4.0;0
LUZ;202301032340;4.3;0
LUZ;202301032350;3.6;0
LUZ;202301040000;1.1;0
LUZ;202301040010;1.4;0
LUZ;202301040020;0.4;0
LUZ;202301040030;1.1;0
LUZ;202301040040;1.1;0
LUZ;202301040050;1.4;0
LUZ;202301040100;5.4;0
LUZ;202301040110;3.2;0
LUZ;202301040120;1.8;0
LUZ;202301040130;1.1;0
LUZ;202301040140;2.2;0
LUZ;202301040150;0.7;0
LUZ;202301040200;0.7;0
LUZ;202301040210;1.4;0
LUZ;202301040220;0.7;0
LUZ;202301040230;0.7;0
LUZ;202301040240;1.1;0
LUZ;202301040250;0.0;0
LUZ;202301040300;2.2;0
LUZ;202301040310;2.2;0
LUZ;202301040320;1.4;0
LUZ;202301040330;4.0;0
LUZ;202301040340;2.5;0
LUZ;202301040350;2.5;0
LUZ;202301040400;3.6;0
LUZ;202301040410;3.6;0
LUZ;202301040420;3.6;0
LUZ;202301040430;2.2;0
LUZ;202301040440;4.0;0
LUZ;202301040450;5.0;0
LUZ;202301040500;6.8;0
LUZ;202301040510;6.1;0
LUZ;202301040520;6.1;0
LUZ;202301040530;1.4;0
LUZ;202301040540;4.3;0
LUZ;202301040550;5.4;0
LUZ;202301040600;5.4;0
LUZ;202301040610;6.8;0
LUZ;202301040620;4.7;0
LUZ;202301040630;5.4;0
LUZ;202301040640;2.2;0
LUZ;202301040650;3.2;0
LUZ;202301040700;2.9;0
LUZ;202301040710;2.2;0
LUZ;202301040720;1.8;0
LUZ;202301040730;3.6;0
LUZ;202301040740;2.9;0
LUZ;202301040750;1.1;0
LUZ;202301040800;1.4;0
LUZ;202301040810;5.0;0
LUZ;202301040820;4.3;0
LUZ;202301040830;1.8;0
LUZ;202301040840;1.1;0
LUZ;202301040850;0.7;0
LUZ;202301040900;0.7;0
LUZ;202301040910;1.8;0
LUZ;202301040920;4.3;0
LUZ;202301040930;2.5;0
LUZ;202301040940;2.5;0
LUZ;202301040950;1.1;0
LUZ;202301041000;4.0;0
LUZ;202301041010;2.9;0
LUZ;202301041020;3.6;0
LUZ;202301041030;5.0;0
LUZ;202301041040;6.8;0
LUZ;202301041050;5.4;0
LUZ;202301041100;4.3;0
LUZ;202301041110;1.4;0
LUZ;202301041120;1.1;0
LUZ;202301041130;1.8;0
LUZ;202301041140;4.3;0
LUZ;202301041150;5.8;0
LUZ;202301041200;7.2;0
LUZ;202301041210;6.1;0
LUZ;202301041220;2.5;0
LUZ;202301041230;5.8;0
LUZ;202301041240;3.6;0
LUZ;202301041250;2.2;0
LUZ;202301041300;1.1;0
LUZ;202301041310;1.1;0
LUZ;202301041320;2.9;0
LUZ;202301041330;1.4;0
LUZ;202301041340;3.6;0
LUZ;202301041350;2.2;0
LUZ;202301041400;2.9;0
LUZ;202301041410;1.4;0
LUZ;202301041420;1.1;0
LUZ;202301041430;2.2;0
LUZ;202301041440;1.1;0
LUZ;202301041450;0.4;0
LUZ;202301041500;0.7;0
LUZ;202301041510;1.4;0
LUZ;202301041520;4.0;0
LUZ;202301041530;6.1;0
LUZ;202301041540;5.0;0
LUZ;202301041550;3.2;0
LUZ;202301041600;3.6;0
LUZ;202301041610;5.0;0
LUZ;202301041620;3.2;0
LUZ;202301041630;4.7;0
LUZ;202301041640;4.0;0
LUZ;202301041650;3.2;0
LUZ;202301041700;2.9;0
LUZ;202301041710;2.9;0
LUZ;202301041720;3.2;0
LUZ;202301041730;4.3;0
LUZ;202301041740;1.4;0
LUZ;202301041750;1.1;0
LUZ;202301041800;2.5;0
LUZ;202301041810;4.7;0
LUZ;202301041820;4.3;0
LUZ;202301041830;4.0;0
LUZ;202301041840;5.0;0
LUZ;202301041850;5.0;0
LUZ;202301041900;4.0;0
LUZ;202301041910;4.3;0
LUZ;202301041920;4.7;0
LUZ;202301041930;2.9;0
LUZ;202301041940;2.9;0
LUZ;202301041950;1.4;0
LUZ;202301042000;2.5;0
LUZ;202301042010;2.9;0
LUZ;202301042020;4.7;0
LUZ;202301042030;6.1;0
LUZ;202301042040;4.3;0
LUZ;202301042050;1.8;0
LUZ;202301042100;2.5;0
LUZ;202301042110;2.5;0
LUZ;202301042120;2.5;0
LUZ;202301042130;1.8;0
LUZ;202301042140;2.2;0
LUZ;202301042150;1.8;0
LUZ;202301042200;2.2;0
LUZ;202301042210;4.3;0
LUZ;202301042220;2.5;0
LUZ;202301042230;1.4;0
LUZ;202301042240;3.6;0
LUZ;202301042250;2.2;0
LUZ;202301042300;1.4;0
LUZ;202301042310;1.1;0
LUZ;202301042320;2.2;0
LUZ;202301042330;2.9;0
LUZ;202301042340;7.6;0
LUZ;202301042350;7.2;0
LUZ;202301050000;3.2;0
LUZ;202301050010;2.9;0
LUZ;202301050020;1.4;0
LUZ;202301050030;1.4;0
LUZ;202301050040;2.9;0
LUZ;202301050050;3.2;0
LUZ;202301050100;2.2;0
LUZ;202301050110;2.2;0
LUZ;202301050120;3.6;0
LUZ;202301050130;1.8;0
LUZ;202301050140;1.1;0
LUZ;202301050150;2.5;0
LUZ;202301050200;3.2;0
LUZ;202301050210;2.2;0
LUZ;202301050220;3.2;0
LUZ;202301050230;4.3;0
LUZ;202301050240;2.2;0
LUZ;202301050250;0.7;0
LUZ;202301050300;2.5;0
LUZ;202301050310;4.7;0
LUZ;202301050320;5.0;0
LUZ;202301050330;4.3;0
LUZ;202301050340;6.5;0
LUZ;202301050350;4.3;0
LUZ;202301050400;4.0;0
LUZ;202301050410;1.4;0
LUZ;202301050420;3.2;0
LUZ;202301050430;5.4;0
LUZ;202301050440;4.7;0
LUZ;202301050450;5.8;0
LUZ;202301050500;3.6;0
LUZ;202301050510;2.2;0
LUZ;202301050520;4.7;0
